desercion_año_anterior,frecuencia_viajes,departamento,distancia_domicilio,educacion,formacion,conteo_de_empleados,ID,nivel_de_cargo,nombre_cargo,estado_civil,ingresos_mensuales,empresas_anteriores,edad>18,porcentaje_aumentosalario,horas_trabajo,nivel_de_opciones,años_de_trabajo,numero_capacitaciones,años_jefe_actual,satisfaccion_entorno,satisfaccion_laboral,conciliacion_faimilar_laboral,implicacion_laboral,rendimiento,tiempo_prom_dia
No,Travel_Rarely,Research & Development,17,4,Technical Degree,1,729,2,Healthcare Representative,Married,104750,3.0,Y,11,8,1,8.0,3,4,1.0,4.0,4.0,3,3,10.1699
No,Travel_Frequently,Research & Development,20,3,Medical,1,730,2,Sales Executive,Married,148140,2.0,Y,11,8,1,14.0,2,2,2.0,2.0,3.0,2,3,6.5406
No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,731,4,Sales Executive,Divorced,191410,3.0,Y,12,8,1,12.0,2,3,4.0,4.0,2.0,3,3,10.2089
No,Travel_Rarely,Research & Development,2,2,Medical,1,732,1,Healthcare Representative,Married,54050,7.0,Y,15,8,0,8.0,3,3,3.0,3.0,3.0,4,3,9.9378
No,Travel_Frequently,Research & Development,2,3,Medical,1,733,1,Sales Executive,Married,87930,6.0,Y,17,8,0,8.0,2,2,2.0,4.0,4.0,3,3,7.4984
No,Travel_Rarely,Research & Development,1,4,Medical,1,734,5,Research Director,Married,191890,0.0,Y,12,8,1,4.0,3,2,3.0,2.0,2.0,3,3,9.6957
No,Non-Travel,Research & Development,29,2,Life Sciences,1,735,2,Sales Executive,Married,38750,3.0,Y,15,8,0,13.0,3,5,3.0,3.0,3.0,3,3,6.348
No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,736,1,Sales Executive,Married,22160,2.0,Y,13,8,3,6.0,2,2,1.0,3.0,3.0,2,3,6.9939
No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,737,2,Sales Executive,Married,117130,2.0,Y,14,8,0,24.0,2,2,4.0,3.0,2.0,3,3,8.6668
No,Travel_Rarely,Research & Development,2,2,Medical,1,738,1,Laboratory Technician,Single,78610,1.0,Y,14,8,2,20.0,1,8,1.0,3.0,1.0,3,3,9.2912
No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,739,1,Human Resources,Married,37080,1.0,Y,16,8,2,6.0,2,4,4.0,4.0,3.0,3,3,9.5781
Yes,Travel_Rarely,Research & Development,2,5,Life Sciences,1,740,1,Research Scientist,Single,137700,1.0,Y,18,8,1,8.0,3,7,4.0,3.0,3.0,4,3,9.6765
No,Travel_Rarely,Research & Development,2,2,Other,1,741,3,Laboratory Technician,Single,53040,0.0,Y,20,8,1,5.0,2,1,1.0,4.0,3.0,3,4,5.69
No,Travel_Rarely,Sales,23,3,Marketing,1,742,3,Research Scientist,Married,26420,0.0,Y,13,8,1,21.0,3,9,3.0,1.0,3.0,3,3,5.7825
No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,743,1,Healthcare Representative,Married,27590,9.0,Y,18,8,1,12.0,6,4,3.0,1.0,1.0,3,3,6.114
No,Travel_Rarely,Research & Development,20,5,Life Sciences,1,744,2,Manager,Single,68040,4.0,Y,13,8,1,8.0,1,2,1.0,3.0,3.0,3,3,6.9482
No,Travel_Frequently,Research & Development,6,4,Medical,1,745,2,Research Director,Single,61420,2.0,Y,15,8,1,10.0,2,2,3.0,4.0,3.0,3,3,7.0996
No,Travel_Rarely,Research & Development,1,4,Medical,1,746,2,Sales Executive,Married,25000,4.0,Y,14,8,2,7.0,2,2,1.0,4.0,2.0,1,3,7.3003
No,Travel_Rarely,Research & Development,29,4,Life Sciences,1,747,1,Research Scientist,Single,63890,0.0,Y,22,8,0,8.0,2,7,3.0,1.0,3.0,2,4,6.2592
No,Travel_Rarely,Sales,9,3,Life Sciences,1,748,1,Laboratory Technician,Single,111030,1.0,Y,12,8,0,10.0,5,9,2.0,1.0,2.0,2,3,6.0182
Yes,Travel_Frequently,Sales,6,5,Medical,1,749,2,Healthcare Representative,Single,23420,3.0,Y,18,8,0,20.0,2,3,1.0,1.0,3.0,3,3,6.7702
Yes,Travel_Frequently,Sales,3,2,Marketing,1,750,2,Laboratory Technician,Single,68110,0.0,Y,15,8,1,9.0,2,7,3.0,4.0,3.0,3,3,7.8951
No,Travel_Rarely,Sales,1,3,Medical,1,751,2,Manager,Single,22970,6.0,Y,18,8,2,29.0,2,7,4.0,4.0,2.0,2,3,5.7252
No,Travel_Rarely,Sales,22,3,Life Sciences,1,752,2,Laboratory Technician,Married,24500,3.0,Y,12,8,1,32.0,2,5,4.0,1.0,3.0,3,3,10.4845
No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,753,3,Research Scientist,Divorced,50930,2.0,Y,16,8,1,31.0,3,0,2.0,4.0,4.0,3,3,7.0025
No,Travel_Rarely,Research & Development,1,3,Medical,1,754,2,Sales Executive,Single,53090,3.0,Y,13,8,0,15.0,5,1,1.0,2.0,3.0,3,3,8.8355
Yes,Travel_Frequently,Sales,4,3,Life Sciences,1,755,2,Manager,Single,30570,1.0,Y,19,8,0,1.0,3,0,2.0,3.0,3.0,3,3,7.0395
No,Travel_Rarely,Sales,3,3,Life Sciences,1,756,3,Sales Executive,Divorced,51210,7.0,Y,13,8,0,8.0,4,2,4.0,1.0,3.0,3,3,7.4177
No,Travel_Rarely,Research & Development,1,3,Medical,1,757,1,Laboratory Technician,Single,168560,3.0,Y,12,8,1,9.0,3,0,1.0,2.0,4.0,3,3,6.9108
No,Travel_Frequently,Sales,2,1,Marketing,1,758,5,Manager,Divorced,26860,5.0,Y,11,8,0,10.0,3,3,4.0,1.0,3.0,4,3,6.9619
Yes,Travel_Rarely,Sales,20,3,Technical Degree,1,759,1,Research Scientist,Single,61800,1.0,Y,14,8,1,1.0,2,0,1.0,2.0,4.0,1,3,7.5544
No,Travel_Rarely,Human Resources,11,4,Medical,1,760,4,Sales Executive,Married,66320,0.0,Y,16,8,0,6.0,3,4,2.0,1.0,4.0,3,3,7.0165
No,Travel_Rarely,Sales,1,3,Marketing,1,761,2,Research Scientist,Single,35050,1.0,Y,12,8,2,10.0,2,8,1.0,4.0,2.0,2,3,6.0497
No,Travel_Rarely,Research & Development,24,3,Other,1,762,3,Research Director,Married,63970,4.0,Y,14,8,1,11.0,3,2,3.0,1.0,2.0,3,3,7.1986
No,Travel_Rarely,Research & Development,23,4,Life Sciences,1,763,2,Sales Executive,Married,62740,7.0,Y,14,8,2,17.0,0,2,1.0,4.0,2.0,3,3,7.4139
Yes,Travel_Rarely,Sales,16,4,Life Sciences,1,764,2,Research Scientist,Married,198590,3.0,Y,19,8,0,6.0,3,2,1.0,1.0,3.0,2,3,6.8734
No,Non-Travel,Sales,8,4,Medical,1,765,1,Healthcare Representative,Single,75870,0.0,Y,22,8,1,7.0,5,3,3.0,3.0,1.0,3,4,7.115
No,Travel_Rarely,Research & Development,10,4,Other,1,766,2,Sales Representative,Married,42580,2.0,Y,16,8,0,5.0,2,0,1.0,1.0,4.0,3,3,6.1712
No,Travel_Rarely,Research & Development,3,2,Medical,1,767,2,Laboratory Technician,Married,43640,3.0,Y,11,8,1,26.0,3,6,1.0,3.0,4.0,3,3,6.0973
No,Travel_Rarely,Research & Development,5,1,Other,1,768,1,Manufacturing Director,Married,43350,1.0,Y,15,8,1,5.0,5,3,4.0,3.0,3.0,3,3,9.1702
No,Travel_Rarely,Sales,4,3,Marketing,1,769,1,Research Scientist,Married,53260,4.0,Y,14,8,1,7.0,2,3,4.0,4.0,2.0,3,3,7.1244
No,Travel_Rarely,Research & Development,9,2,Medical,1,770,1,Sales Executive,Married,32800,5.0,Y,13,8,0,7.0,3,2,4.0,2.0,2.0,3,3,5.5628
No,Travel_Rarely,Research & Development,26,3,Medical,1,771,3,Sales Executive,Married,54850,2.0,Y,17,8,2,7.0,2,3,2.0,3.0,2.0,3,3,10.2462
No,Non-Travel,Sales,3,2,Life Sciences,1,772,1,Sales Executive,Divorced,43420,3.0,Y,11,8,1,11.0,6,7,3.0,3.0,4.0,2,3,5.9031
No,Travel_Rarely,Research & Development,16,3,Medical,1,773,2,Human Resources,Divorced,27820,1.0,Y,19,8,1,13.0,5,9,1.0,4.0,3.0,3,3,6.4618
Yes,Travel_Rarely,Research & Development,18,1,Medical,1,774,1,Manufacturing Director,Divorced,59800,4.0,Y,11,8,1,28.0,2,3,1.0,4.0,4.0,3,3,6.3726
Yes,Non-Travel,Research & Development,2,4,Medical,1,775,2,Manufacturing Director,Single,43810,2.0,Y,15,8,2,11.0,1,0,1.0,1.0,4.0,2,3,9.1858
Yes,Travel_Frequently,Sales,2,3,Medical,1,776,2,Sales Executive,Single,25720,1.0,Y,13,8,3,10.0,3,7,3.0,2.0,3.0,3,3,6.261
No,Travel_Rarely,Sales,10,2,Marketing,1,777,1,Sales Executive,Divorced,38330,2.0,Y,14,8,0,24.0,1,7,2.0,1.0,3.0,3,3,9.9107
No,Travel_Rarely,Research & Development,16,4,Life Sciences,1,778,3,Human Resources,Single,42440,9.0,Y,13,8,0,8.0,3,2,4.0,2.0,3.0,3,3,6.0353
Yes,Travel_Frequently,Research & Development,7,4,Life Sciences,1,779,1,Laboratory Technician,Married,65000,6.0,Y,23,8,1,7.0,5,2,2.0,4.0,1.0,3,4,10.06
No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,780,1,Research Scientist,Married,184300,4.0,Y,12,8,1,10.0,5,2,2.0,4.0,4.0,3,3,9.9723
No,Travel_Rarely,Research & Development,24,3,Technical Degree,1,781,2,Research Scientist,Divorced,16010,4.0,Y,12,8,0,15.0,3,2,3.0,1.0,3.0,3,3,6.7188
Yes,Travel_Rarely,Research & Development,7,4,Medical,1,782,2,Research Scientist,Married,26940,1.0,Y,16,8,1,2.0,3,2,1.0,3.0,3.0,3,3,6.9595
No,Non-Travel,Research & Development,25,4,Other,1,783,1,Sales Executive,Divorced,31490,2.0,Y,15,8,1,16.0,1,8,4.0,2.0,3.0,2,3,7.808
No,Travel_Rarely,Research & Development,1,2,Technical Degree,1,784,1,Research Scientist,Single,176390,0.0,Y,13,8,1,6.0,0,3,4.0,1.0,3.0,3,3,6.072
No,Non-Travel,Research & Development,5,3,Life Sciences,1,785,1,Laboratory Technician,Single,23190,3.0,Y,18,8,0,7.0,4,3,3.0,3.0,3.0,2,3,6.0997
No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,786,2,Manager,Single,116910,4.0,Y,20,8,0,35.0,2,8,4.0,2.0,2.0,3,4,6.4935
No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,787,3,Laboratory Technician,Married,53240,2.0,Y,19,8,0,20.0,2,2,1.0,3.0,2.0,1,3,6.5659
No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,788,3,Laboratory Technician,Divorced,167520,2.0,Y,18,8,1,8.0,3,2,3.0,3.0,4.0,3,3,6.2784
No,Travel_Rarely,Research & Development,5,1,Other,1,789,3,Research Scientist,Single,52280,1.0,Y,13,8,0,6.0,2,3,4.0,2.0,2.0,4,3,6.7847
No,Travel_Frequently,Human Resources,10,3,Medical,1,790,2,Sales Executive,Married,27000,0.0,Y,14,8,3,5.0,2,3,4.0,1.0,3.0,3,3,6.9665
No,Travel_Rarely,Research & Development,10,4,Life Sciences,1,791,1,Sales Representative,Single,192460,3.0,Y,15,8,1,15.0,5,12,4.0,1.0,3.0,3,3,6.521
No,Travel_Rarely,Sales,1,2,Technical Degree,1,792,1,Laboratory Technician,Married,25060,8.0,Y,22,8,0,4.0,3,2,4.0,3.0,2.0,3,4,5.8155
No,Travel_Frequently,Research & Development,8,4,Medical,1,793,1,Sales Executive,Single,60620,1.0,Y,22,8,2,12.0,2,8,1.0,4.0,3.0,3,4,6.6551
No,Travel_Frequently,Research & Development,5,3,Life Sciences,1,794,5,Manufacturing Director,Married,43820,7.0,Y,16,8,2,11.0,2,0,1.0,3.0,2.0,3,3,7.1231
No,Non-Travel,Research & Development,8,3,Life Sciences,1,795,1,Manufacturing Director,Divorced,21430,1.0,Y,17,8,1,1.0,2,0,3.0,3.0,2.0,3,3,5.6297
No,Travel_Rarely,Sales,2,1,Life Sciences,1,796,3,Research Scientist,Married,61620,0.0,Y,14,8,0,13.0,5,8,2.0,3.0,2.0,2,3,7.0019
No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,797,2,Sales Executive,Divorced,50940,3.0,Y,15,8,0,29.0,5,7,3.0,2.0,3.0,3,3,6.5338
No,Travel_Frequently,Research & Development,2,4,Medical,1,798,2,Sales Representative,Divorced,68770,7.0,Y,20,8,0,16.0,3,9,2.0,1.0,2.0,3,4,5.7989
Yes,Travel_Frequently,Research & Development,2,3,Medical,1,799,1,Research Scientist,Married,22740,3.0,Y,20,8,1,5.0,5,2,1.0,3.0,4.0,3,4,6.4067
Yes,Travel_Frequently,Research & Development,28,3,Medical,1,800,5,Research Scientist,Single,44340,2.0,Y,17,8,3,7.0,1,0,1.0,2.0,1.0,3,3,7.6082
Yes,Travel_Rarely,Research & Development,7,1,Medical,1,801,1,Research Scientist,Single,62880,0.0,Y,15,8,1,16.0,2,10,1.0,2.0,4.0,3,3,8.2735
No,Travel_Rarely,Sales,7,4,Other,1,802,4,Healthcare Representative,Married,25530,1.0,Y,14,8,1,1.0,4,0,4.0,3.0,3.0,2,3,6.019
Yes,Travel_Frequently,Sales,3,3,Life Sciences,1,803,2,Research Scientist,Single,76540,2.0,Y,17,8,1,4.0,3,0,2.0,1.0,2.0,2,3,7.9742
No,Non-Travel,Research & Development,10,3,Life Sciences,1,804,2,Manager,Married,51600,1.0,Y,17,8,1,1.0,3,0,4.0,2.0,3.0,1,3,7.0553
No,Travel_Frequently,Research & Development,5,2,Medical,1,805,2,Research Scientist,Single,171590,5.0,Y,22,8,1,16.0,1,2,2.0,3.0,2.0,2,4,10.0446
No,Travel_Rarely,Sales,10,2,Life Sciences,1,806,1,Sales Executive,Divorced,128080,1.0,Y,13,8,0,10.0,6,4,3.0,3.0,3.0,3,3,6.8608
No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,807,3,Sales Executive,Divorced,102210,0.0,Y,19,8,1,6.0,2,3,3.0,3.0,4.0,3,3,5.93
No,Travel_Rarely,Sales,20,3,Marketing,1,808,2,Research Scientist,Married,47790,0.0,Y,14,8,1,4.0,6,2,4.0,3.0,3.0,3,3,10.09
No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,809,2,Research Scientist,Married,37370,8.0,Y,22,8,2,8.0,2,2,1.0,2.0,3.0,3,4,7.7399
No,Travel_Rarely,Research & Development,8,4,Medical,1,810,2,Sales Representative,Married,23660,3.0,Y,17,8,0,11.0,5,2,3.0,3.0,2.0,2,3,10.4576
Yes,Travel_Frequently,Sales,1,3,Marketing,1,811,2,Laboratory Technician,Single,17060,7.0,Y,12,8,0,8.0,3,0,3.0,1.0,2.0,3,3,7.4365
No,Travel_Rarely,Sales,8,4,Marketing,1,812,1,Laboratory Technician,Divorced,163070,1.0,Y,16,8,0,1.0,3,0,1.0,3.0,1.0,2,3,5.9013
No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,813,2,Sales Executive,Single,59330,0.0,Y,11,8,0,5.0,3,3,3.0,1.0,3.0,3,3,6.3473
No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,814,1,Research Scientist,Married,34240,4.0,Y,11,8,0,10.0,3,2,3.0,1.0,3.0,3,3,5.9888
No,Travel_Frequently,Research & Development,8,1,Medical,1,815,1,Research Scientist,Married,40370,0.0,Y,14,8,0,4.0,2,2,4.0,2.0,3.0,1,3,6.9785
No,Travel_Rarely,Research & Development,5,1,Technical Degree,1,816,2,Laboratory Technician,Married,25590,1.0,Y,11,8,0,8.0,3,7,3.0,2.0,2.0,2,3,5.5177
No,Travel_Rarely,Research & Development,15,4,Life Sciences,1,817,1,Sales Executive,Single,62010,2.0,Y,15,8,3,14.0,2,0,4.0,3.0,3.0,2,3,7.8478
No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,818,3,Laboratory Technician,Single,44030,2.0,Y,20,8,0,10.0,3,0,3.0,4.0,4.0,2,4,7.126
No,Travel_Frequently,Sales,10,3,Life Sciences,1,819,4,Research Scientist,Divorced,37610,3.0,Y,12,8,0,26.0,3,12,2.0,4.0,3.0,2,3,6.41
Yes,Travel_Rarely,Research & Development,5,3,Life Sciences,1,820,2,Research Scientist,Single,109340,6.0,Y,17,8,2,11.0,2,7,1.0,1.0,1.0,3,3,6.3136
No,Travel_Rarely,Sales,26,1,Marketing,1,821,1,Sales Representative,Married,107610,3.0,Y,11,8,1,24.0,5,17,4.0,1.0,4.0,2,3,7.2487
No,Travel_Rarely,Sales,6,1,Technical Degree,1,822,2,Laboratory Technician,Single,51750,4.0,Y,17,8,1,9.0,2,2,2.0,2.0,3.0,4,3,6.5242
No,Travel_Rarely,Research & Development,4,2,Life Sciences,1,823,3,Manufacturing Director,Married,138260,8.0,Y,11,8,0,23.0,1,1,3.0,2.0,4.0,2,3,6.7979
No,Travel_Rarely,Research & Development,23,4,Life Sciences,1,824,2,Research Scientist,Single,63340,1.0,Y,14,8,0,11.0,2,3,4.0,2.0,1.0,4,3,5.7055
No,Travel_Rarely,Research & Development,2,4,Medical,1,825,2,Manager,Single,49360,0.0,Y,19,8,1,5.0,2,2,1.0,3.0,3.0,2,3,7.2452
Yes,Travel_Rarely,Research & Development,2,3,Medical,1,826,2,Research Director,Single,47750,3.0,Y,15,8,1,15.0,3,0,4.0,1.0,1.0,4,3,7.0393
No,Travel_Rarely,Human Resources,2,3,Human Resources,1,827,2,Manufacturing Director,Married,28180,1.0,Y,13,8,1,10.0,2,6,4.0,3.0,3.0,3,3,9.6701
Yes,Travel_Frequently,Research & Development,29,3,Life Sciences,1,828,2,Healthcare Representative,Single,25150,1.0,Y,14,8,0,7.0,3,7,4.0,3.0,1.0,2,3,5.879
No,Travel_Frequently,Research & Development,6,3,Medical,1,829,1,Manager,Single,23420,1.0,Y,12,8,1,32.0,2,9,3.0,4.0,3.0,2,3,9.4625
No,Travel_Rarely,Sales,25,5,Marketing,1,830,1,Research Scientist,Married,41940,0.0,Y,17,8,2,12.0,3,7,2.0,3.0,3.0,3,3,9.7778
No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,831,1,Manufacturing Director,Married,106850,4.0,Y,11,8,3,4.0,2,0,3.0,2.0,3.0,3,3,6.3574
No,Travel_Rarely,Research & Development,2,2,Medical,1,832,1,Research Scientist,Married,20220,1.0,Y,12,8,0,10.0,1,7,1.0,4.0,3.0,3,3,7.4277
No,Travel_Rarely,Research & Development,1,3,Medical,1,833,1,Manager,Married,23140,3.0,Y,13,8,0,9.0,5,7,3.0,1.0,3.0,4,3,5.9283
No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,834,1,Research Scientist,Single,42560,1.0,Y,13,8,3,5.0,1,2,4.0,2.0,3.0,3,3,6.7454
No,Travel_Rarely,Sales,3,3,Life Sciences,1,835,3,Laboratory Technician,Married,35800,4.0,Y,20,8,1,8.0,1,3,4.0,4.0,3.0,2,4,5.802
No,Travel_Frequently,Human Resources,1,4,Technical Degree,1,836,2,Manufacturing Director,Married,31620,2.0,Y,17,8,2,24.0,1,9,4.0,4.0,1.0,3,3,7.9059
No,Travel_Rarely,Sales,10,1,Life Sciences,1,837,1,Manufacturing Director,Married,65240,0.0,Y,13,8,1,9.0,2,1,1.0,1.0,4.0,4,3,6.1708
No,Travel_Rarely,Research & Development,9,3,Medical,1,838,2,Manufacturing Director,Married,28990,1.0,Y,17,8,0,15.0,3,7,2.0,3.0,3.0,2,3,10.3188
No,Travel_Rarely,Sales,5,5,Life Sciences,1,839,1,Manufacturing Director,Single,52310,1.0,Y,12,8,2,21.0,4,7,3.0,4.0,3.0,3,3,8.2628
No,Travel_Rarely,Sales,10,2,Marketing,1,840,1,Manufacturing Director,Divorced,23560,0.0,Y,13,8,0,2.0,5,0,3.0,1.0,3.0,3,3,5.9248
No,Non-Travel,Research & Development,7,3,Medical,1,841,1,Research Scientist,Divorced,28000,3.0,Y,12,8,2,8.0,0,2,4.0,4.0,3.0,2,3,8.1471
No,Travel_Rarely,Research & Development,4,3,Medical,1,842,3,Laboratory Technician,Divorced,118360,1.0,Y,22,8,0,10.0,2,7,1.0,2.0,3.0,4,4,6.2768
No,Travel_Rarely,Research & Development,10,1,Life Sciences,1,843,1,Healthcare Representative,Married,109030,0.0,Y,11,8,0,6.0,3,2,2.0,3.0,3.0,4,3,7.2417
No,Travel_Rarely,Research & Development,22,4,Medical,1,844,1,Sales Executive,Married,29730,3.0,Y,22,8,0,12.0,0,5,4.0,2.0,3.0,4,4,7.0406
No,Travel_Rarely,Sales,9,3,Marketing,1,845,4,Research Scientist,Single,142750,3.0,Y,18,8,1,7.0,5,2,3.0,4.0,2.0,2,3,8.907
No,Travel_Rarely,Research & Development,12,4,Medical,1,846,1,Laboratory Technician,Divorced,55620,8.0,Y,13,8,1,18.0,2,7,3.0,3.0,3.0,3,3,7.4809
No,Travel_Rarely,Research & Development,23,4,Life Sciences,1,847,2,Healthcare Representative,Married,45370,6.0,Y,18,8,1,5.0,5,0,3.0,3.0,2.0,4,3,7.5098
No,Travel_Rarely,Research & Development,9,1,Medical,1,848,1,Healthcare Representative,Married,76420,2.0,Y,20,8,1,8.0,2,2,1.0,1.0,1.0,2,4,6.6805
Yes,Travel_Rarely,Research & Development,1,3,Other,1,849,3,Sales Executive,Married,179240,1.0,Y,13,8,2,10.0,2,7,2.0,1.0,3.0,3,3,6.7838
No,Travel_Frequently,Sales,9,3,Marketing,1,850,1,Manufacturing Director,Married,52040,3.0,Y,13,8,1,10.0,2,2,3.0,3.0,3.0,3,3,6.6506
No,Travel_Rarely,Sales,7,2,Life Sciences,1,851,1,Sales Executive,Single,22770,1.0,Y,12,8,1,3.0,2,2,4.0,1.0,3.0,3,3,6.6714
No,Travel_Rarely,Research & Development,14,3,Technical Degree,1,852,5,Research Director,Married,27950,3.0,Y,13,8,0,9.0,4,3,3.0,2.0,3.0,3,3,6.0832
Yes,Travel_Rarely,Research & Development,2,3,Medical,1,853,1,Research Scientist,Divorced,25320,1.0,Y,13,8,0,1.0,2,0,1.0,1.0,3.0,1,3,9.0236
Yes,Travel_Rarely,Research & Development,19,3,Life Sciences,1,854,2,Manager,Married,25590,0.0,Y,25,8,0,34.0,2,9,3.0,4.0,3.0,3,4,6.3774
Yes,Travel_Rarely,Research & Development,2,3,Medical,1,855,3,Sales Executive,Married,49080,4.0,Y,19,8,1,7.0,3,4,3.0,2.0,3.0,2,3,7.417
No,Non-Travel,Research & Development,10,4,Life Sciences,1,856,5,Research Scientist,Married,23800,4.0,Y,13,8,0,9.0,5,2,4.0,1.0,2.0,3,3,6.9366
No,Travel_Rarely,Research & Development,2,5,Life Sciences,1,857,1,Sales Executive,Married,47650,8.0,Y,12,8,1,10.0,4,6,3.0,1.0,2.0,3,3,6.6264
No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,858,2,Sales Executive,Single,20440,1.0,Y,11,8,0,1.0,2,0,1.0,4.0,1.0,3,3,7.1241
No,Travel_Rarely,Research & Development,11,1,Medical,1,859,1,Laboratory Technician,Married,26930,1.0,Y,18,8,0,36.0,6,13,3.0,4.0,3.0,2,3,5.9883
No,Travel_Rarely,Research & Development,2,2,Life Sciences,1,860,2,Research Scientist,Married,65860,9.0,Y,18,8,1,9.0,3,1,2.0,3.0,2.0,3,3,5.6167
No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,861,1,Research Director,Married,32940,1.0,Y,11,8,0,1.0,6,0,1.0,4.0,3.0,3,3,7.0083
No,Travel_Rarely,Sales,14,2,Marketing,1,862,1,Sales Executive,Married,41710,0.0,Y,23,8,0,10.0,4,7,3.0,2.0,3.0,4,4,6.6403
No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,863,1,Manufacturing Director,Single,27780,2.0,Y,13,8,0,8.0,5,2,2.0,2.0,4.0,2,3,6.7504
No,Travel_Rarely,Human Resources,1,3,Human Resources,1,864,1,Research Scientist,Single,23770,6.0,Y,13,8,2,15.0,3,0,2.0,3.0,3.0,3,3,6.8906
No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,865,1,Sales Representative,Single,24040,1.0,Y,17,8,0,10.0,3,5,2.0,1.0,3.0,2,3,7.7181
No,Travel_Rarely,Sales,12,2,Life Sciences,1,866,2,Sales Executive,Single,23180,3.0,Y,19,8,0,10.0,4,4,1.0,3.0,3.0,4,3,8.5152
No,Travel_Rarely,Sales,2,2,Medical,1,867,1,Sales Executive,Married,20080,2.0,Y,12,8,0,11.0,3,6,4.0,3.0,3.0,3,3,7.6441
No,Travel_Frequently,Research & Development,5,1,Medical,1,868,1,Research Scientist,Divorced,62440,1.0,Y,22,8,0,6.0,3,3,1.0,4.0,4.0,3,4,6.5036
No,Travel_Rarely,Research & Development,4,2,Medical,1,869,1,Laboratory Technician,Married,27990,4.0,Y,12,8,1,27.0,0,0,3.0,3.0,3.0,1,3,9.048
No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,870,3,Manager,Married,105520,2.0,Y,11,8,0,4.0,2,2,4.0,3.0,3.0,3,3,6.4232
No,Travel_Frequently,Sales,21,3,Life Sciences,1,871,2,Human Resources,Married,23290,3.0,Y,15,8,0,9.0,2,2,1.0,1.0,3.0,3,3,8.6985
No,Travel_Rarely,Research & Development,8,2,Life Sciences,1,872,5,Manager,Single,40140,8.0,Y,13,8,1,24.0,3,1,4.0,4.0,3.0,3,3,5.8524
No,Travel_Rarely,Sales,4,3,Medical,1,873,2,Laboratory Technician,Married,74030,1.0,Y,12,8,1,10.0,4,8,2.0,3.0,2.0,3,3,6.2634
No,Travel_Frequently,Research & Development,25,1,Life Sciences,1,874,1,Manager,Married,22590,1.0,Y,14,8,0,8.0,2,7,4.0,3.0,2.0,3,3,5.5861
No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,875,2,Laboratory Technician,Married,69320,1.0,Y,13,8,0,5.0,5,2,4.0,1.0,3.0,3,3,6.1266
No,Travel_Rarely,Research & Development,1,1,Other,1,876,1,Manager,Divorced,46780,5.0,Y,25,8,1,8.0,0,2,4.0,2.0,3.0,4,4,6.4376
No,Travel_Rarely,Sales,6,3,Marketing,1,877,3,Sales Representative,Married,135820,1.0,Y,17,8,1,1.0,3,1,3.0,4.0,2.0,2,3,6.8501
No,Travel_Rarely,Research & Development,12,4,Technical Degree,1,878,1,Laboratory Technician,Single,23320,1.0,Y,11,8,0,27.0,2,12,4.0,1.0,1.0,3,3,6.3871
Yes,Travel_Rarely,Human Resources,1,3,Medical,1,879,2,Laboratory Technician,Married,24130,1.0,Y,16,8,1,1.0,2,0,3.0,2.0,3.0,3,3,8.0117
No,Non-Travel,Sales,17,2,Marketing,1,880,3,Sales Executive,Married,97050,1.0,Y,18,8,2,4.0,3,3,2.0,3.0,2.0,2,3,8.4542
No,Travel_Frequently,Research & Development,3,3,Other,1,881,2,Research Scientist,Married,42940,2.0,Y,20,8,0,32.0,2,13,2.0,3.0,3.0,2,4,9.1981
No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,882,3,Research Scientist,Married,47210,3.0,Y,14,8,1,6.0,3,2,2.0,4.0,3.0,3,3,5.9114
No,Travel_Rarely,Research & Development,10,3,Technical Degree,1,883,3,Manager,Divorced,25190,0.0,Y,21,8,2,23.0,2,10,2.0,4.0,2.0,3,4,8.5688
No,Travel_Rarely,Research & Development,4,3,Medical,1,884,1,Research Director,Married,21210,1.0,Y,13,8,1,6.0,2,1,2.0,2.0,2.0,3,3,6.1406
No,Travel_Rarely,Sales,29,2,Technical Degree,1,885,2,Research Scientist,Single,29730,1.0,Y,12,8,0,10.0,2,4,3.0,1.0,3.0,3,3,8.7681
